id,term,context,title,agency,classification,explanation
1,increase the diversity,"(irl) program for junior faculty in  minority health and health disparities • priority activity 2: recruit/retain diverse faculty through a health education, awareness and research  in disparities scholarship (heard scholars) program in minority health and health disparities. • priority activity 3: increase the diversity of the biomedical, behavioral and clinical research workforce by  recruiting a new cohort of phd students from minority and underrepresented groups each year who focus  on health disparities. • priority activity 4: develop a mechanism for minority health and health disparity researchers to engage  ","Texas Minority Health, Research and Outreach (MiHERO)",NIH,POLITICAL,"The context specifically mentions ""minority and underrepresented groups"" and relates to workforce diversity, which aligns with social and political goals of equity and inclusion.
"
2,increase the diversity,"ents from these groups to pursue career paths in the biomedical sciences. the number of students from some demographic groups who are pursuing graduate school in the sciences is far from parity with their proportion among the us population, and the society of toxicology strongly supports efforts to increase the diversity of the scientific workforce. selected from a national pool of applicants, these students and advisors will receive travel support and participate in a 3-day program march 13-15, 2021, in orlando, fl, in conjunction with the society of toxicology (sot) annual meeting march 14-18, and at the subseque",Society of Toxicology Undergraduate Diversity Program,NIH,POLITICAL,"The context emphasizes parity with the US population and addresses representation of demographic groups in the scientific workforce. This aligns with broader social and political discussions around equity and inclusion.
"
3,increase the diversity,"e approaches to eval- uate our first program. we will assess the impacts of the cohort model, our interventions, and contextual factors at multiple levels. this aim is described in the evaluation core. our evaluation will inform our future approaches to foster a sustainable institutional culture to increase the diversity of the utsw and utd faculty and leadership. the first legacy will be sustained using data-driven strategies to guide institutional and de- partmental leaders to incorporate best practices to overcome structural and institutional barriers for dei cul- ture, and to enhance and deepen the science work",The Medical District UTSW-D FIRST Program,NIH,POLITICAL,"The phrase ""increase the diversity of the utsw and utd faculty and leadership"" falls under the category of promoting diversity within an institution, which is a socio-political goal related to representation and equity.
"
4,increase the diversity,"esis is that this faculty cohort model will successfully hire and retain a diverse cohort of early career faculty and the changes implemented as part of the unm first program will support the enhancement of inclusive excellence practices across unm. the long-term goal of the unm first program is to increase the diversity of the biomedical faculty workforce at nih while building on recent progress toward inclusive excellence in our institutional culture. our specific aims are: to recruit, promote, and retain a diverse cohort of biomedical faculty (aim 1); and to systemically transform unm institutional culture towar",UNM FIRST: Promoting Inclusive Excellence in Neuroscience and Data Science,NIH,POLITICAL,"The term ""increase the diversity"" in this context refers to increasing representation of underrepresented groups within the biomedical faculty workforce. This directly relates to social and political goals of equity and inclusion, rather than a purely scientific or technical meaning of diversity.
"
5,increase the diversity,"dence of biomedical research career preparedness (having a gpa of 3.5 or higher at graduation), 6. 70% will apply to graduate programs within 2 years of graduation, and 7. 60% will be accepted into graduate programs in the biomedical sciences. through this program we will address the larger need to increase the diversity in the biomedical workforce to reflect the changing demographics. alaska, alaska native, bachelor', s degree, biology, biomedical research, censuses, chemistry, discipline, ethnic origin, fostering, foundations, institution, laboratories, natural sciences, outcome, paper, population, readiness, res","U-RISE at University of Alaska Anchorage (""Biomed U-RISE"")",NIH,POLITICAL,"The phrase ""increase the diversity in the biomedical workforce to reflect the changing demographics"" explicitly connects to social and demographic considerations, indicating a political context related to representation and equity.
"
6,increase the diversity,"u-rise at texas state university project summary/abstract texas state university (txstate) will implement an undergraduate research training initiative for student enhancement program (u-rise tx) to increase the diversity and number of txstate students entering phd programs in biomedical research. we will recruit qualified hispanic and other underrepresented (ur) students for extensive undergraduate research experiences in chemistry, biochemistry, and biology and provide these students with the skills, mentoring, tr",U-RISE at Texas State University,NIH,POLITICAL,"The phrase ""increase the diversity"" refers to increasing representation of underrepresented groups (Hispanic and other UR students) in biomedical research PhD programs. This speaks directly to addressing social and political issues of equity and representation in higher education and STEM fields.
"
7,increase the diversity,"u-rise at brooklyn college project summary brooklyn college’s u-rise proposal aims to increase the diversity of our science workforce by providing individuals from groups historically under-represented in stem with the preparation, confidence and self- efficacy to pursue graduate studies and succeed in obtaining doctoral degrees and launching a stem career. about half of brooklyn college’s students are el",U-RISE at Brooklyn College,NIH,POLITICAL,"The phrase is used in the context of addressing historical underrepresentation of certain groups in STEM fields, which is a socio-political issue.
"
8,increase the diversity,"ntonio; uthsa), are both designated hispanic- serving institutions and actively support and promote various programs targeting students from historically marginalized groups (hmgs). we are partnering for a new t32 institutional training grant, the texas doctoral bridge program (tdbp), which aims to increase the diversity of the biomedical workforce by preparing and recruiting outstanding m.s. students from txst for competitive and high quality biomedical ph.d. programs, such as that found at uthsa. over the last ten years, txst has established an excellent record in training biochemistry m.s. students for doctoral ",Texas Doctoral Bridge Program,NIH,POLITICAL,"The phrase ""increase the diversity of the biomedical workforce"" is being used in the context of addressing historical marginalization and promoting inclusivity, which are inherently social and political goals. While the setting is scientific (biomedical workforce), the aim of increasing diversity relates to equity and representation, making it a political usage.
"
9,increase the diversity,"anding commitment to diversity and the strength of its biomedical research programs to increase the number of phds from underrepresented groups who train at osu and successfully transition into careers in biomedical research. to accomplish this goal, seven program objectives have been developed. 1) increase the diversity of pre-doctoral trainees in biomedical research at osu through targeted recruitment activities. 2) promote rigor, reproducibility and responsible conduct in biomedical research at osu through a combination of workshops, classroom instruction, and interactive activities. 3) expose trainees to cuttin",G-RISE at Oklahoma State University,NIH,POLITICAL,"The phrase ""increase the diversity"" in this context refers to increasing the representation of underrepresented groups, which is a social and political goal related to equity and inclusion.
"
10,increase the diversity,"includes collaborative change consortia: developing and strengthening partnerships to better support women of color in the engineering workforce the broader impact of this nsf includes collaborative change consortia project is to increase the diversity of the engineering workforce at the intersections of gender and race by improving the retention of women of color. in the workforce, women of color comprise less than 6% of engineering professionals. research shows women leave the profession at higher rates than men, highlighting real-world experie",INCLUDES Collaborative Change Consortia: Developing and Strengthening Partnerships to Better Support Women of Color in the Engineering Workforce,NSF,POLITICAL,"The term is used in a context related to social equity and representation within a specific workforce (engineering), focusing on gender and racial demographics. While related to data and metrics, the core issue being addressed is one of societal and workplace fairness and inclusion, aligning with political goals of equality.
"
