id,term,context,title,agency,classification,explanation
1,bipoc,"rh) services are integral to the wellbeing and flourishing of individuals and communities. however, societal dynamics of power and oppression pattern access to these services, presenting disproportionate barriers to younger people, individuals who identify as black, indigenous, and people of color (bipoc individuals), those with disabilities and chronic disease, individuals who are transgender or gender-nonconforming (tgnc individuals), and people of lower socioeconomic status. one exacerbating factor for these health inequities is the social stigmatization of sexuality, which compels individuals t",Confidentiality in use of health insurance coverage for reproductive health services,NIH,POLITICAL,"The term ""BIPOC"" is used to describe groups facing systemic barriers to reproductive health services due to societal power dynamics and oppression. This aligns with a social and political context rather than a strictly scientific one.
"
2,bipoc,"yan white hiv/aids program (rwhap) funded organizations in ending the hiv epidemic (ethe) areas in the south/east us to co-develop context-responsive programs utilizing evi- dence-informed interventions to reduce structural racism and discrimination (srd) against black, indigenous, people of color (bipoc) living with hiv (plh) and bipoc healthcare workers. srd directly impacts access to and uptake of healthcare for bipoc, including engagement in hiv services across the continuum of prevention and care. the proposed intervention, titled transcends, draws on the evidence-based health policy plus (hp+",Ending the HIV Epidemic with Equity: An All-facility Intervention to Reduce Structural Racism and Discrimination and Its Impact on Patient and Healthcare Staff Wellbeing,NIH,POLITICAL,"The term 'bipoc' is used to address issues of structural racism and discrimination impacting specific racial and ethnic groups' access to healthcare, which is inherently a sociopolitical issue.
"
3,bipoc,examining anti-racist healing in nature to protect telomeres of transitional age bipoc for health equity. deaths from chronic diseases are disproportionately higher in communities of color. this is expected given the well-documented health inequities in the united states caused by centuries-old underinvestment in their wellness. to begin to redress this underinvestment during an econ,Examining Anti-Racist Healing in Nature to Protect Telomeres of Transitional Age BIPOC for Health Equity.,NIH,POLITICAL,"The term 'bipoc' is used in a context of addressing health inequities and historical underinvestment in specific communities, which aligns with social and political considerations of race and equity.
"
4,bipoc,"iv/aids researchers to the cahdr floor and expand our hiv/aids research program into cutting-edge new areas. most importantly, a modern and cutting-edge hiv research space will allow us to prepare and increase the number of underrepresented minority (urm) and black, indigenous, and people of color (bipoc) researchers participating in hiv-focused research. aids/hiv problem, academic medical centers, acquired immunodeficiency syndrome, address, adult, area, basic science, black race, black  indigenous  people of color, covid-19 pandemic, covid-19 vaccine, charge, childhood, clinic, clinical research,",Meharry HIV/AIDS Research and Training Facility,NIH,POLITICAL,"The term 'bipoc' is used in the context of increasing representation of specific racial and ethnic groups (underrepresented minority and black, indigenous, and people of color) in HIV/AIDS research, which relates to social equity and inclusion, thus a political context.
"
5,bipoc,"using telehealth to improve access to gender-affirming care for bipoc and rural gender diverse youth project summary this proposal aims to improve the care of specific populations included in the special emphasis notice (not- hs-21-014) to advance health equity by increasing health services research involving transgender and gender diverse youth, youth who identify a",Using telehealth to improve access to gender-affirming care for BIPOC and rural gender diverse youth,NIH,POLITICAL,"The term ""BIPOC"" is used to refer to a specific population group (Black, Indigenous, and People of Color) that experiences health disparities. This usage aligns with social, political, and identity-based contexts related to health equity.
"
6,bipoc,"tem) tthe overall goal of the city college of new york (ccny) 's advance adaptation project is to implement institutional transformation that fosters an equitable and supportive professional environment for all faculty, with a particular emphasis on women and black, indigenous, and people of color (bipoc) stem faculty. the persistent underrepresentation of women and bipoc faculty in stem at ccny and across the nation undermines the attainment of a diverse, well-prepared stem workforce and national prosperity. the reasons for the persistent underrepresentation are complex. the solutions to address t","ADVANCE Adaptation: Advancing Inclusion, Diversity, and Equity in STEM (AIDE-STEM)",NSF,POLITICAL,"The term 'bipoc' is used in the context of addressing underrepresentation and promoting diversity and equity within STEM fields, which are inherently linked to social, political, and identity concerns.
"
7,bipoc,"ring stem identity formation of black undergraduate students through transdisciplinary computational research experiences solving for today's grand societal challenges requires cutting-edge, transdisciplinary research. at the same time, the underrepresentation of black, indigenous, people of color (bipoc) in stem fields continues to be a top challenge impacting our ability to solve for the aforementioned grand societal challenges, which disproportionately impact bipoc communities. this project places these two priorities in conversation with each other, 1) addressing racial inequity and broadening ",CAREER: Exploring STEM Identity Formation of Black Undergraduate Students through Transdisciplinary Computational Research Experiences,NSF,POLITICAL,"The term 'bipoc' is used to describe underrepresented groups and highlight racial inequity, placing it in a social, political, and identity context related to diversity and inclusion in STEM.
"
8,bipoc,"expanding activities for outdoor, nature situated making the science museum of minnesota (smm) will collaborate with four community organizations serving black, indigenous, and people of color (bipoc) audiences to research and develop a novel outdoor makerspace that engages families in stem learning. a makerspace is a place where people work together on creative, interest driven projects. in working with bipoc families, the project addresses three forms of historical (and present day) exclusion","Expanding Activities for Outdoor, Nature Situated Making",NSF,POLITICAL,"The term 'bipoc' is used to identify specific communities facing historical and ongoing exclusion, which is a social and political issue.
"
9,bipoc,". these events will be integrated into festivals and public programs on governor’s island in new york city, directly impacting up to ten thousand visitors.    the project will use a design-based research approach to study three alternate methods for how black, indigenous, and other people of color (bipoc) youth participants, working with the beam center organization, can be engaged in the guerilla science participatory design experience. drawing on participatory design, climate communication, and climate justice scholarship, the research will investigate:(1) what forms of novel and authentic contri",Co-Design for Climate Justice: Youth expression through Science-rich Public Art,NSF,POLITICAL,"The term ""BIPOC"" is used within the context of social justice, specifically climate justice and participatory design involving marginalized racial and ethnic groups. This indicates a focus on identity and social equity, making it a political usage.
"
10,bipoc,"munities to design, collaborate on, and share educational resources that address misinformation. it will leverage participatory design with digital literacy interventionists to create locally-contextualized digital literacy resources for rural communities and black, indigenous, and people of color (bipoc) communities. it will also design and implement a socio-technical platform that supports digital literacy interventionists to engage in the ongoing design of educational resources as a community of practice (cop). this platform will allow us to scale and sustain the work to generate an enduring imp",NSF Convergence Accelerator Track F: Co-designing for Trust: Reimagining Online Information Literacies with Underserved Communities,NSF,POLITICAL,"The term 'bipoc' is used to refer to specific racial and ethnic groups (Black, Indigenous, and People of Color) who are often marginalized and underserved, which is a social and political context. The grant aims to address misinformation within these communities, indicating an awareness of systemic inequities and a focus on social impact.
"
