id,term,context,title,agency,classification,explanation
1,race and ethnicity,"m effects on health benefits and risks. in aim 1, we will survey diverse cohorts of cisgender msm, transgender women, and cisgender women on interest in use of otc prep, reasons for potential use or non-use, and willingness and ability to pay. we will evaluate differences by demographics, including race and ethnicity, and by current and prior prep use. in aim 2, we will conduct focus groups to explore acceptability of otc prep and facilitators and barriers to implementation among key stakeholders, including clinicians, leaders of professional medical organizations, public health officials, regulatory experts, d","Over-the-Counter PrEP: Acceptability, Feasibility, and Potential Impact of Access without a Prescription (OFFSCRIPT)",NIH,SCIENTIFIC,"The text mentions evaluating differences ""by demographics, including race and ethnicity,"" suggesting it's being used as a variable in a study of health and access to PrEP, aligning with a scientific context.
"
2,race and ethnicity,"tions and resources. using community-engaged and innovative approaches to rigorously over-sample tnb poc, we will identify within-group differences in the specific forms social support that promote health and mitigate risk across tnb communities. data from a total of 1299 tnb individuals diverse in race and ethnicity will be collected across several studies using multiple methods (e.g., qualitative interviews and focus groups; ecological momentary assessment, longitudinal survey research) to develop and validate a multi-faceted social support measure and test its function within an intersectional minority stres",A multidimensional investigation of social support for transgender and nonbinary people and its impacts on health and well-being: Measurement development using community engagement,NIH,SCIENTIFIC,"The phrase ""diverse in race and ethnicity"" is used within the context of a scientific study aiming to identify within-group differences and understand the impact of social support on health and well-being. This suggests a scientific context where race and ethnicity are used as demographic variables for analysis.
"
3,race and ethnicity,"esilience, and stbs every 6 months for 2 years. analyses will use rigorous weighted generalized estimating equations to estimate trajectories of risk and protective factors for stbs. subgroup analyses will further examine how trajectories of stbs and associated risk and protective factors differ by race and ethnicity, gender identity, and other theoretically informed intersectional factors among sgm preteens. this research is guided by an innovative conceptual model integrating advances in developmental science with the nimhd sgm health disparities framework and involves community partners at sgm youth organiza",Measuring and Mapping Trajectories of Risk and Resilience for Suicidal Thoughts and Behaviors in Sexual and Gender Minority Preteens,NIH,SCIENTIFIC,"The text describes a scientific study examining risk and protective factors for suicidal thoughts and behaviors (STBs) among sexual and gender minority (SGM) preteens. The phrase ""race and ethnicity"" is used as a factor for subgroup analysis, suggesting a scientific inquiry into how these factors might correlate with different trajectories of STBs.
"
4,race and ethnicity,"uit applicants from underrepresented backgrounds designated by nih (e.g., experience with homelessness, educationally and/or financially disadvantaged, raised in rural and/or centers for medicare & medicaid services-designated low- income areas) alongside other systematically excluded groups (e.g., race and ethnicity, sexual minority, gender minority). prospective uab doctoral students, as well as current doctoral students already enrolled in the schools of public health, nursing, or college of arts and sciences and who are in years 1 or 2 of their program, are eligible. intended trainee outcomes will include t",ADVANCE SGM Health for Research Diversity,NIH,POLITICAL,"The phrase ""race and ethnicity"" is used in the context of identifying systematically excluded groups, which aligns with social and political considerations of diversity and equity.
"
5,race and ethnicity,"uit applicants from underrepresented backgrounds designated by nih (e.g., experience with homelessness, educationally and/or financially disadvantaged, raised in rural and/or centers for medicare & medicaid services-designated low- income areas) alongside other systematically excluded groups (e.g., race and ethnicity, sexual minority, gender minority). prospective uab doctoral students, as well as current doctoral students already enrolled in the schools of public health, nursing, or college of arts and sciences and who are in years 1 or 2 of their program, are eligible. intended trainee outcomes will include t",ADVANCE SGM Health for Research Diversity,NIH,POLITICAL,"The term ""race and ethnicity"" is used alongside ""sexual minority"" and ""gender minority"" to identify systematically excluded groups, indicating a focus on social and political marginalization.
"
6,race and ethnicity,"ews with sgm survivors (n=35), and d) a national online survey (n=1000), with quota sampling to ensure adequate representation of cisgender, sexual minority men, cisgender, sexual minority women, and transgender/ otherwise gender expansive people, purposively sampled to achieve maximum diversity in race and ethnicity. a community advisory board with sgm gbv survivors, clinicians, scientific experts, and community stakeholders will be engaged throughout the research process ensuring potential impact and sustainability. this study is innovative because it uses rich community-engaged approaches to articulate help-",Advancing help-seeking and recovery measures for sexual and gender minority survivors of gender-based violence,NIH,POLITICAL,"The phrase ""maximum diversity in race and ethnicity"" indicates the term is being used to ensure representation of different social groups, aligning with a political/social/identity context.
"
7,race and ethnicity,"with the communities they serve; aim 2: to teach health professionals and librarians in national and regional education programs more about their roles in providing equitable access to high quality health information by promoting nlm resources; aim 3: to support inclusive programming that addresses race and ethnicity; sexual and gender minorities; cognitive and physical abilities; religious background or identification; socio-economic status (past and current); education level, health literacy, and linguistic needs; geographic location including underrepresented populations from medically underserved areas; and",NNLM Region 5:  Reaching More People in More Ways,NIH,POLITICAL,"The term is used within a list of factors related to equity, inclusion, and addressing the needs of diverse populations, aligning with social and political considerations.
"
8,race and ethnicity,"isk and disparities in health outcomes include: poverty; low education; poor health literacy; poor nutrition; tobacco, alcohol and substance abuse; limited access to care (specialists, diagnostic testing); migrant or marginal immigration status; and non- and underinsurance. in addition to rurality, race and ethnicity may play a role in adrd. african americans are 2 times as likely and hispanics are 1.5 times more likely than whites to develop adrd that may be due to different risk profiles, particularly vascular risks. these social, biologic, and genetic determinants increase risk for multiple chronic condition",Reducing Disparities in Dementia and VCID Outcomes in a Multicultural Rural Population,NIH,SCIENTIFIC,"The text discusses health disparities in the context of dementia and VCID, mentioning risk profiles, vascular risks, and genetic determinants associated with different racial and ethnic groups. This leans towards a scientific investigation of potential biological and social factors influencing disease prevalence.
"
9,race and ethnicity,"larkson university advance adaptation project, stem leaf (stem leadership, equity, and advancement for faculty) will improve equity for stem faculty at clarkson. the project has three goals: (1) to significantly reduce implicit or unintentional bias associated with gender and its intersections with race and ethnicity, country of origin, sexual orientation, and disability; (2) to support the development of inclusive leadership skills by department chairs, center/institute directors, and deans, and (3) to promote the sustainability of these systemic efforts through university-wide structural and policy changes.  ","STEM Leadership, Equity, and Advancement for Faculty",NSF,POLITICAL,"The grant aims to address equity and reduce bias related to gender, race and ethnicity, sexual orientation, etc., indicating a focus on social and political aspects of identity and representation within the STEM field.
"
10,race and ethnicity,"n will be pursued; q1) what role does evidence play in scaling the most promising engagement activities across a given region and the alliance overall? q2) how do the social interactions and the resultant networks affect scaling? and q3) what are the historic and operative frameworks of how gender, race and ethnicity, pathway opportunities and goal attainment are addressed? the research results will create new knowledge and help others work toward achieving inclusive participation in engineering.    this nsf includes alliance award is funded by:  - nsf inclusion across the nation of communities of learners of u",NSF INCLUDES Alliance: Engineering PLUS (Partnerships Launching Underrepresented Students),NSF,POLITICAL,"The phrase ""gender, race and ethnicity, pathway opportunities and goal attainment"" suggests a focus on social categories and equity in access, which falls under a political context dealing with social justice and representation.
"
11,race and ethnicity,"d groups. centering the needs and voices of mps students and teachers, this partnership will develop a strategy for dual enrollment implementation in mathematics that addresses significant disparities in math course achievement, graduation rates, and college enrollment in milwaukee, particularly by race and ethnicity.    the partnership development process will draw upon principles and practices of inclusive research-practice partnership approaches to ensure power sharing, the balancing of practitioner and researcher priorities, and giving voice to all participants and partners. project activities include needs",Milwaukee Mathematics Dual Enrollment Equity Pathways,NSF,POLITICAL,"The phrase ""race and ethnicity"" is used in the context of addressing disparities in educational outcomes (math course achievement, graduation rates, and college enrollment). This relates to social and political issues of equity.
"
12,race and ethnicity,"ent of stem learning in informal environments; and (d) engage the public of all ages in learning stem in informal environments.    the project will address two significant gaps in science communication and intercultural communication research. first, despite the recognition that more research about race and ethnicity is needed in science communication, few studies have been conducted. second, while findings on intercultural communication research are consistent across fields, such as health communication and business communication, the research has yet to examine how well-established theories in this area of st",Intercultural Science Communication Research and Training to Broaden Participation Among Historically Minoritized Science Practitioners,NSF,POLITICAL,"The text refers to a lack of research about 'race and ethnicity' in science communication and aims to broaden participation among historically minoritized groups. This highlights a social and political dimension related to equity and inclusion in STEM.
"
13,race and ethnicity,"explaining changes in racial identification across time and place racial and ethnic identity, and how people select into categories of race and ethnicity, can be fluid. this study investigates how racial and ethnic self-categorization changes across an individual’s life and is affected by time and place. the project links individuals and their offspring across 80 years of federal administrative and survey data, looking for shifts in racial and ethni",Explaining Changes in Racial Identification across Time and Place,NSF,SCIENTIFIC,"The grant proposal focuses on investigating changes in racial and ethnic self-categorization using data analysis, indicating a scientific inquiry into the fluidity and factors influencing these categories.
"
14,race and ethnicity,"inclusive authentication is growing, inclusive user authentication schemes for historically excluded racial and ethnic groups are understudied. through integrated research and education activities, this project develops novel, inclusive user authentication systems to reduce cybersecurity risk, with race and ethnicity central foci. outcomes of this project also provide cybersecurity-focused education material for k-12 and university students and the broader population, thereby expanding the nation's cybersecurity defense.    this project engages individuals from historically excluded racial and ethnic groups in ",CAREER: Inclusive Cybersecurity Through the Lens of Accessible Identity and Access Management,NSF,POLITICAL,"The text focuses on ""historically excluded racial and ethnic groups"" and aims for ""inclusive"" authentication systems, indicating a focus on social equity and political dimensions related to identity.
"
