id,term,context,title,agency,classification,explanation
1,underrepresentation,"ely to be current alcohol users, binge drinkers, and heavy drinkers than heterosexual women1 and are 11 times more likely to meet the threshold for alcohol use disorder.1-6 while research on smw's alcohol use has grown in recent years, a scoping review of the literature from 2000-2017 showed severe underrepresentation of black and latina women.7 probability data show that 1 in 4 black women8 and 1 in 5 latinos9 (across gender) in the us identify as sexual minority. lack of racial diversity in sampling presumes that the types, severity and frequency of stressors impacting alcohol use among smw is uniform across r",Health Effects of Intersectional Stigma among Sexual Minority Women,NIH,SCIENTIFIC,"The term 'underrepresentation' refers to a lack of sufficient representation of Black and Latina women in research samples, which is a methodological issue within scientific research.
"
2,underrepresentation,"the next generation of black women scientists project abstract the spelman rise program seeks to address the underrepresentation of women, and minority women in particular, in the sciences at the phd level and beyond by leading the effort to produce the next generation of black women scientists. the present proposal enhances aspects of our existing rise program, which has 100% graduation rate and 100% of its graduates pursui",The Next Generation of Black Women Scientists,NIH,POLITICAL,"The term 'underrepresentation' refers to the disparity in the presence of women, particularly minority women, in the sciences, specifically at the PhD level and beyond. This highlights a social and political issue related to equity and inclusion, rather than a strictly scientific observation within a study.
"
3,underrepresentation,"nd the unequal distribution of resources, power, and economic opportunity are prevalent in stem disciplines. these inequalities systemically advantage some people over others, hindering our scientific, technological, and economic advancement as a nation through the lack of diverse perspectives. the underrepresentation of women and individuals from minoritized and marginalized racial and ethnic communities persists in science, technology, engineering, and mathematics (stem). among stem, physics is the field with the poorest diversity in graduate education. the culture of stem and physics, in particular, is charac",Inclusive Graduate Programs: An AGEP Pilot in Physics,NSF,POLITICAL,"The term ""underrepresentation"" is used in the context of social inequalities, power dynamics, and the lack of diverse perspectives hindering national advancement. This aligns with a social and political understanding of representation rather than a purely technical or scientific one.
"
4,underrepresentation,"ollege of new york (ccny) 's advance adaptation project is to implement institutional transformation that fosters an equitable and supportive professional environment for all faculty, with a particular emphasis on women and black, indigenous, and people of color (bipoc) stem faculty. the persistent underrepresentation of women and bipoc faculty in stem at ccny and across the nation undermines the attainment of a diverse, well-prepared stem workforce and national prosperity. the reasons for the persistent underrepresentation are complex. the solutions to address this persistent underrepresentation require new and","ADVANCE Adaptation: Advancing Inclusion, Diversity, and Equity in STEM (AIDE-STEM)",NSF,POLITICAL,"The term 'underrepresentation' is used in the context of social equity and diversity within STEM fields, specifically referencing women and BIPOC faculty. This aligns with a political agenda of promoting inclusion and addressing systemic inequalities.
"
5,underrepresentation,"snet) the disnet (disability inclusion support network) project establishes a virtual platform to connect nsf-funded teams conducting disability research, stem students with disabilities, disability organizations, and community members with disabilities. this network seeks to address the persistent underrepresentation of people with disabilities in stem education and careers nationally. disnet uses research and insights from surveys, interviews, focus groups, and advisory board recommendations to develop a collaboration portal that supports the network partners and enhances their collective impact. the virtual p",INCLUDES: Network Connectors: Disability Inclusion Support Network (DISNET),NSF,POLITICAL,"The underrepresentation of people with disabilities in STEM education and careers is a social and political issue related to equity and inclusion.
"
6,underrepresentation,"career paths in computing and technology. this project through the university of delaware will work to increase the participation of middle-school girls who pursue computing career paths, particularly those from underrepresented or marginalized groups. the project is connected to ongoing studies on underrepresentation in computing and associated emerging technologies, and integrates frameworks, such as personal and group identity formation, embodied virtual agents, human-computer interaction, and motivation. a team of five mentors-advisors is included in this plan, they will guide the research project and mentor",Using Quantitative Ethnography and Customized Virtual Role Models to Measure and Improve the Computing Identity of Young Girls,NSF,POLITICAL,"The term ""underrepresentation"" is used in the context of social groups (middle-school girls, marginalized groups) and their participation in specific fields (computing career paths). This relates to equity and access, which are inherently political concepts.
"
7,underrepresentation,"native stem portraits: a longitudinal, mixed-methods study of the intersectional experiences of native learners and professionals in stem native students and professionals are severely underrepresented in all stem degree programs and professions in the u.s. this underrepresentation is often overlooked in research and discussions of equity in stem. this abstract, and this project, uses the word ""native"" as an umbrella to refer to american indians, alaska natives, native hawaiians, pacific islanders, first nations, and other indigenous peoples of north america. this project wil","Native STEM Portraits: A Longitudinal, Mixed-Methods Study of the Intersectional Experiences of Native Learners and Professionals in STEM",NSF,POLITICAL,"The term 'underrepresentation' is used in the context of equity and social justice, specifically referring to the lack of representation of Native students and professionals in STEM fields. This aligns with a political context focused on addressing disparities and advocating for fair representation of marginalized groups.
"
8,underrepresentation,"s and graduation of first-generation students, including hispanic and female students majoring in math, computer science, and engineering. having access to higher education is crucial to promoting economic mobility and social integration and is particularly important as it addresses the significant underrepresentation of certain groups in stem fields, which has a profound impact on innovation. this project addresses this challenge by providing a combination of student support, mentorship programs, and engaging family-oriented activities to promote community engagement and foster a culture of inclusivity and exce","HSI Implementation and Evaluation Project: STEM Student Empowerment through Mentorship, Family-Centric Innovation Activities, and Artificial Intelligence Research",NSF,POLITICAL,"The text links ""underrepresentation"" to economic mobility, social integration, and inclusivity, which are all concepts related to social equity and political discourse rather than purely scientific or technical issues. The mention of ""certain groups"" also points towards a focus on social categories often discussed in political contexts.
"
9,underrepresentation,"career: exploring stem identity formation of black undergraduate students through transdisciplinary computational research experiences solving for today's grand societal challenges requires cutting-edge, transdisciplinary research. at the same time, the underrepresentation of black, indigenous, people of color (bipoc) in stem fields continues to be a top challenge impacting our ability to solve for the aforementioned grand societal challenges, which disproportionately impact bipoc communities. this project places these two priorities in conversation with each other, ",CAREER: Exploring STEM Identity Formation of Black Undergraduate Students through Transdisciplinary Computational Research Experiences,NSF,POLITICAL,"The term 'underrepresentation' refers to the social and political issue of lack of representation of Black, Indigenous, and People of Color (BIPOC) in STEM fields. It highlights the societal impact of this disparity and connects it to the ability to solve societal challenges affecting these communities.
"
10,underrepresentation,"as (1) campus environments that are not intentionally culturally-responsive to latinx stem students; (2) deficit mindsets of stem educators that devalue latinx students’ strength and resilience; (3) latinx stem retention and graduation rates that are significantly lower than enrollment; and (4) the underrepresentation of latinx professionals in stem job clusters compound broadening participation efforts. these factors place a necessity for change on institutions, educators, and employers to intentionally harness latinx students’ assets and create a more welcoming environment that fosters reproducible success. th",NSF INCLUDES Alliance: ALRISE - Accelerate Latinx Representation In STEM Education  with Institutional Intentionality and Capacity Building for Experiential Learning,NSF,POLITICAL,"The term 'underrepresentation' is used in the context of social equity and diversity, specifically addressing the lack of Latinx professionals in STEM fields. This aligns with broader discussions of social justice and political action aimed at increasing representation of marginalized groups.
"
